time,power_5m,power_10m,power_15m
445.2,0.0034601267,0.0005206722,0.0011738037
445.39996,0.0033052657,0.0012300592,0.0015452312
445.59998,0.0029061367,0.0022438332,0.0018635398
445.8,0.0023808586,0.0033194122,0.0020684786
446,0.0018847641,0.004207367,0.0020987177
446.19998,0.001544724,0.0046809227,0.0019183154
446.4,0.0014362398,0.0046088006,0.0015563609
446.6,0.0015896485,0.004016382,0.0011135837
446.8,0.001979963,0.0030627484,0.00071938557
447,0.0025138378,0.0019755024,0.00047772692
447.19998,0.0030529457,0.001019107,0.00044252028
447.39996,0.0034610077,0.00046297756,0.00062183966
447.59998,0.00363377,0.0004803729,0.0009850308
447.8,0.0035160289,0.0010431235,0.0014591157
448,0.003134509,0.0019450163,0.0019265137
448.2,0.0026138658,0.0029323804,0.0022488032
448.4,0.002121203,0.00379183,0.0023247334
448.6,0.0017751158,0.004346537,0.0021457446
448.8,0.0016213568,0.0044505196,0.0017926472
448.99997,0.0016844106,0.0040428373,0.0013732708
449.19998,0.0019821047,0.0032080526,0.0009699897
449.4,0.0024675406,0.0021676635,0.0006442429
449.59998,0.003004016,0.0012045404,0.0004639215
449.8,0.0034341011,0.00057125447,0.0004909447
450,0.0036610283,0.00041415018,0.000731459
450.2,0.0036527677,0.0007356883,0.0011184841
450.39996,0.0034111547,0.0014179484,0.001554722
450.59998,0.002982371,0.0022890717,0.0019548032
450.8,0.0024760272,0.0031705669,0.0022413924
451,0.0020319917,0.0038770563,0.0023328534
451.19998,0.0017609207,0.0042164815,0.0021744266
451.4,0.0017199987,0.004051737,0.0017916554
451.6,0.0019205436,0.0033996948,0.0012974086
451.8,0.0023217187,0.002463377,0.000836094
452,0.00282028,0.0015372185,0.000524093
452.19998,0.0032840397,0.00086179224,0.0004304882
452.39996,0.0036135097,0.00055452855,0.0005791752
452.59998,0.0037612359,0.0006429694,0.00093999074
452.8,0.0036993986,0.001113787,0.0014167533
453,0.0034081007,0.0018998896,0.0018665222
453.2,0.0029161873,0.0028310951,0.0021562036
453.4,0.0023369973,0.0036428012,0.002216469
453.6,0.0018488604,0.004082563,0.002051767
453.8,0.0016247493,0.0040338887,0.0017156551
453.99997,0.0017465565,0.0035501563,0.0012892192
454.19998,0.0021563058,0.0027926748,0.00087344204
454.4,0.0026913518,0.0019524153,0.00056992157
454.59998,0.0031841253,0.0012120805,0.00044276155
454.8,0.0035332916,0.000734921,0.0004974067
455,0.0036908453,0.00064326485,0.00069934677
455.2,0.0036226376,0.0009771645,0.0010020583
455.39996,0.0033196323,0.001660813,0.0013481515
455.59998,0.002845044,0.0025113255,0.0016590792
455.8,0.0023396232,0.003295238,0.0018520483
456,0.0019568533,0.0038029037,0.001879158
456.19998,0.001787873,0.0039081294,0.0017430298
456.4,0.0018436104,0.0035986702,0.0014777081
456.6,0.0020876818,0.0029717863,0.001131817
456.8,0.0024683336,0.0021941534,0.0007745102
457,0.0029223235,0.001447864,0.00049632764
457.19998,0.003364224,0.0008982097,0.0003806767
457.39996,0.0036869764,0.0006793918,0.00046705428
457.59998,0.0037871962,0.0008578701,0.0007386529
457.8,0.0036119542,0.0013770524,0.0011301169
458,0.0031991438,0.002062368,0.0015386229
458.2,0.0026738322,0.0027189332,0.0018475635
458.4,0.0021922877,0.0032213512,0.0019719782
458.6,0.0018737927,0.0035014118,0.0018961617
458.8,0.0017738049,0.0034906599,0.0016660196
458.99997,0.0019050562,0.0031361373,0.0013492246
459.19998,0.0022588489,0.0024875102,0.0010077031
459.4,0.0027858254,0.0017284767,0.00069859985
